score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
1.000001,605,0,0,227,378,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000
1.000001,605,11,0,227,367,1.000000,0.029101,1.000000,0.056555,0.514550,0.029101
0.961628,605,12,0,227,366,1.000000,0.031746,1.000000,0.061538,0.515873,0.031746
0.957520,605,14,0,227,364,1.000000,0.037037,1.000000,0.071429,0.518519,0.037037
0.953368,605,16,0,227,362,1.000000,0.042328,1.000000,0.081218,0.521164,0.042328
0.952780,605,20,0,227,358,1.000000,0.052910,1.000000,0.100503,0.526455,0.052910
0.948184,605,21,0,227,357,1.000000,0.055556,1.000000,0.105263,0.527778,0.055556
0.945310,605,24,0,227,354,1.000000,0.063492,1.000000,0.119403,0.531746,0.063492
0.915422,605,25,0,227,353,1.000000,0.066138,1.000000,0.124069,0.533069,0.066138
0.914407,605,28,0,227,350,1.000000,0.074074,1.000000,0.137931,0.537037,0.074074
0.913886,605,29,0,227,349,1.000000,0.076720,1.000000,0.142506,0.538360,0.076720
0.910373,605,30,0,227,348,1.000000,0.079365,1.000000,0.147059,0.539683,0.079365
0.909785,605,31,0,227,347,1.000000,0.082011,1.000000,0.151589,0.541005,0.082011
0.906937,605,32,0,227,346,1.000000,0.084656,1.000000,0.156098,0.542328,0.084656
0.906574,605,33,0,227,345,1.000000,0.087302,1.000000,0.160584,0.543651,0.087302
0.906147,605,33,1,226,345,0.970588,0.087302,0.995595,0.160194,0.541448,0.082896
0.901978,605,33,2,225,345,0.942857,0.087302,0.991189,0.159806,0.539246,0.078491
0.901812,605,34,2,225,344,0.944444,0.089947,0.991189,0.164251,0.540568,0.081137
0.901551,605,35,2,225,343,0.945946,0.092593,0.991189,0.168675,0.541891,0.083782
0.899104,605,36,2,225,342,0.947368,0.095238,0.991189,0.173077,0.543214,0.086428
0.898677,605,36,3,224,342,0.923077,0.095238,0.986784,0.172662,0.541011,0.082022
0.898283,605,38,3,224,340,0.926829,0.100529,0.986784,0.181384,0.543657,0.087313
0.897959,605,39,3,224,339,0.928571,0.103175,0.986784,0.185714,0.544979,0.089959
0.897250,605,41,6,221,337,0.872340,0.108466,0.973568,0.192941,0.541017,0.082034
0.890813,605,42,6,221,336,0.875000,0.111111,0.973568,0.197183,0.542340,0.084679
0.884769,605,46,6,221,332,0.884615,0.121693,0.973568,0.213953,0.547631,0.095261
0.872427,605,47,6,221,331,0.886792,0.124339,0.973568,0.218097,0.548953,0.097907
0.867774,605,48,6,221,330,0.888889,0.126984,0.973568,0.222222,0.550276,0.100552
0.863152,605,49,6,221,329,0.890909,0.129630,0.973568,0.226328,0.551599,0.103198
0.859910,605,50,6,221,328,0.892857,0.132275,0.973568,0.230415,0.552922,0.105843
0.857281,605,51,6,221,327,0.894737,0.134921,0.973568,0.234483,0.554244,0.108489
0.855120,605,52,7,220,326,0.881356,0.137566,0.969163,0.237986,0.553365,0.106729
0.854255,605,53,7,220,325,0.883333,0.140212,0.969163,0.242009,0.554687,0.109375
0.853643,605,54,7,220,324,0.885246,0.142857,0.969163,0.246014,0.556010,0.112020
0.851684,605,55,7,220,323,0.887097,0.145503,0.969163,0.250000,0.557333,0.114666
0.850935,605,55,8,219,323,0.873016,0.145503,0.964758,0.249433,0.555130,0.110260
0.846396,605,55,9,218,323,0.859375,0.145503,0.960352,0.248869,0.552928,0.105855
0.845585,605,56,9,218,322,0.861538,0.148148,0.960352,0.252822,0.554250,0.108501
0.842753,605,57,9,218,321,0.863636,0.150794,0.960352,0.256757,0.555573,0.111146
0.842559,605,61,9,218,317,0.871429,0.161376,0.960352,0.272321,0.560864,0.121728
0.840161,605,62,9,218,316,0.873239,0.164021,0.960352,0.276169,0.562187,0.124374
0.837548,605,64,9,218,314,0.876712,0.169312,0.960352,0.283814,0.564832,0.129665
0.832952,605,65,9,218,313,0.878378,0.171958,0.960352,0.287611,0.566155,0.132310
0.830272,605,68,9,218,310,0.883117,0.179894,0.960352,0.298901,0.570123,0.140247
0.830078,605,69,9,218,309,0.884615,0.182540,0.960352,0.302632,0.571446,0.142892
0.819588,605,69,10,217,309,0.873418,0.182540,0.955947,0.301969,0.569243,0.138487
0.815827,605,70,10,217,308,0.875000,0.185185,0.955947,0.305677,0.570566,0.141132
0.814682,605,71,10,217,307,0.876543,0.187831,0.955947,0.309368,0.571889,0.143778
0.809613,605,71,11,216,307,0.865854,0.187831,0.951542,0.308696,0.569686,0.139373
0.807489,605,72,11,216,306,0.867470,0.190476,0.951542,0.312364,0.571009,0.142018
0.806979,605,73,11,216,305,0.869048,0.193122,0.951542,0.316017,0.572332,0.144664
0.806948,605,74,11,216,304,0.870588,0.195767,0.951542,0.319654,0.573655,0.147309
0.806436,605,75,12,215,303,0.862069,0.198413,0.947137,0.322581,0.572775,0.145549
0.806422,605,75,13,214,303,0.852273,0.198413,0.942731,0.321888,0.570572,0.141144
0.805478,605,75,14,213,303,0.842697,0.198413,0.938326,0.321199,0.568369,0.136739
