tail_rank,role_scope,role_scope_description,aggregation,feature_type,feature_name,candidate_grade,combined_direction,old_direction,new_direction,direction_consistent,old_directional_auc,new_directional_auc,combined_directional_auc,combined_patient_n,combined_patient_n_with_feature,combined_positive_n,combined_negative_n,old_negative_n,new_negative_n,nonpatient_P99,nonpatient_P995,nonpatient_P999,nonpatient_max,old_nonpatient_P99,new_nonpatient_P99,old_patient_above_old_P99_rate,new_patient_above_new_P99_rate,cross_data_p99_relative_diff,cross_data_tail_consistent,patient_P90,patient_P99,patient_above_P99_rate,patient_above_P995_rate,patient_above_P999_rate,tail_separation_ratio,combined_fp_at_P99,combined_fp_at_P995,combined_fp_at_P999,combined_fp_rate_at_P99,combined_fp_rate_at_P995,combined_fp_rate_at_P999,strict_filter_pass,filter_failure_reasons
1,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_eyebrow_region_centroid_y_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.535351,0.546388,0.559015,604,604,378,226,168,58,0.106998,0.108792,0.127105,0.132359,0.107848,0.092938,0.074405,0.047619,0.138249,true,0.098956,0.142750,0.068783,0.060847,0.026455,0.924832,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.068783 < 0.150000; tail_separation_ratio 0.924832 < 1.500000
2,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_brow_outer_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.538620,0.546388,0.561748,604,604,378,226,168,58,0.149459,0.155443,0.176630,0.182564,0.152188,0.130969,0.062500,0.047619,0.139425,true,0.136768,0.202597,0.071429,0.052910,0.023810,0.915086,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.071429 < 0.150000; tail_separation_ratio 0.915086 < 1.500000
3,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,true,0.518265,0.543987,0.550416,605,605,378,227,168,59,0.080182,0.084354,0.093755,0.096344,0.082124,0.063726,0.029762,0.023810,0.224027,true,0.072556,0.090827,0.034392,0.021164,0.002646,0.904898,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.034392 < 0.150000; tail_separation_ratio 0.904898 < 1.500000
4,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_browInnerUp,,patient_higher,patient_higher,nonpatient_higher,false,0.533163,0.628329,0.563737,605,605,378,227,168,59,0.943993,0.968165,0.986817,0.991230,0.953471,0.906067,0.026786,0.000000,0.049717,true,0.852798,0.972003,0.023810,0.015873,0.005291,0.903394,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.903394 < 1.500000
5,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,true,0.527397,0.608959,0.561668,605,605,378,227,168,59,0.081398,0.082636,0.090319,0.092522,0.082065,0.056087,0.044643,0.071429,0.316555,false,0.073330,0.087958,0.044974,0.039683,0.005291,0.900880,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.900880 < 1.500000; cross_data_tail_consistent is false
6,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_eyebrow_region_centroid_y_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.553288,0.561340,0.579353,605,605,378,227,168,59,0.112205,0.129829,0.144570,0.148135,0.109413,0.112898,0.077381,0.000000,0.030869,true,0.100698,0.144453,0.066138,0.023810,0.010582,0.897443,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.066138 < 0.150000; tail_separation_ratio 0.897443 < 1.500000
7,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_eyeSquintLeft,,patient_higher,nonpatient_higher,nonpatient_higher,false,0.547017,0.508878,0.524066,605,605,378,227,168,59,0.861946,0.884997,0.889357,0.889833,0.873664,0.757666,0.005952,0.071429,0.132772,true,0.771134,0.862262,0.010582,0.005291,0.002646,0.894643,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.010582 < 0.150000; tail_separation_ratio 0.894643 < 1.500000
8,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_face_oval_region_point_spread_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.530793,0.587167,0.554098,603,603,378,225,166,59,0.080049,0.083769,0.090661,0.092522,0.081797,0.054646,0.038690,0.095238,0.331929,false,0.071564,0.086768,0.042328,0.029101,0.000000,0.894010,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.894010 < 1.500000; cross_data_tail_consistent is false
9,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,median,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,true,0.528301,0.588378,0.552546,603,603,378,225,166,59,0.080049,0.083769,0.090661,0.092522,0.081797,0.054646,0.035714,0.095238,0.331929,false,0.071514,0.086768,0.039683,0.026455,0.000000,0.893382,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.893382 < 1.500000; cross_data_tail_consistent is false
10,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,mean,asymmetry,raw_face_oval_region_point_spread_asym,,patient_higher,patient_higher,patient_higher,true,0.528301,0.571429,0.551287,603,603,378,225,166,59,0.080049,0.083769,0.090661,0.092522,0.081797,0.054646,0.035714,0.095238,0.331929,false,0.071514,0.086768,0.039683,0.026455,0.000000,0.893382,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.893382 < 1.500000; cross_data_tail_consistent is false
11,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_brow_outer_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.556087,0.547215,0.580799,605,605,378,227,168,59,0.155865,0.179135,0.198273,0.202860,0.152188,0.154943,0.071429,0.000000,0.017782,true,0.139183,0.202998,0.060847,0.023810,0.015873,0.892972,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.060847 < 0.150000; tail_separation_ratio 0.892972 < 1.500000
12,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,expression_blendshape,bs_browInnerUp,,patient_higher,patient_higher,nonpatient_higher,false,0.516670,0.620690,0.522428,604,604,378,226,168,58,0.940957,0.967903,0.979916,0.982301,0.951335,0.755872,0.023810,0.023810,0.205462,true,0.833947,0.972003,0.026455,0.015873,0.005291,0.886275,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.886275 < 1.500000
13,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_eyeSquintRight,,patient_higher,nonpatient_higher,patient_higher,false,0.531569,0.546005,0.530068,605,605,378,227,168,59,0.784706,0.789096,0.799703,0.802671,0.787262,0.711375,0.029762,0.071429,0.096394,true,0.693773,0.814097,0.026455,0.023810,0.015873,0.884118,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.884118 < 1.500000
14,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_iris_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.535192,0.543924,0.548924,604,604,378,226,168,58,0.074778,0.084948,0.095842,0.098585,0.078649,0.074397,0.053571,0.047619,0.054061,true,0.065915,0.102985,0.071429,0.037037,0.015873,0.881479,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.071429 < 0.150000; tail_separation_ratio 0.881479 < 1.500000
