rule_id,feature_name,feature_type,role_scope,aggregation,direction,threshold,feature_weight,weight_grade,tier,tier_multiplier,tier_reason,raw_weight_score,tier_adjusted_weight_score,separation_score,combined_auc_score,nonpatient_specificity_score,nonpatient_false_positive_rate,volatility_score,image_count_score,image_count,old_image_count,new_image_count,image_mean,image_std,image_median,image_iqr,patient_median_gap_abs,image_robust_cv,volatility_ratio_iqr_to_patient_gap,old_directional_auc,new_directional_auc,combined_directional_auc,old_specificity,new_specificity,combined_specificity,direction_consistent,selection_source,combined_patient_count,combined_tp,combined_fp,combined_tn,combined_fn,combined_precision,combined_recall,combined_specificity,combined_f1,combined_balanced_accuracy,combined_youden_j,old_patient_count,old_tp,old_fp,old_tn,old_fn,old_precision,old_recall,old_specificity,old_f1,old_balanced_accuracy,old_youden_j,new_patient_count,new_tp,new_fp,new_tn,new_fn,new_precision,new_recall,new_specificity,new_f1,new_balanced_accuracy,new_youden_j,threshold_rule,role_scope_description
1,raw_lip_midline_deviation,asymmetry,mouth_dynamic,max,patient_higher,0.008995,0.107007,very_high,Tier 1: 核心特征,2.000000,old_auc/new_auc >= 0.570000 且 nonpatient FP rate 0.314159 < 0.350000,0.593756,1.187512,0.557387,0.678700,0.654762,0.314159,0.301043,0.819530,1132,1024,108,0.007784,0.009015,0.005496,0.007362,0.002236,1.339611,3.291974,0.583608,0.600575,0.601805,0.654762,0.775862,0.685841,true,rule62_recommended_distinct,604,193,71,155,185,0.731061,0.510582,0.685841,0.601246,0.598211,0.196423,504,173,58,110,163,0.748918,0.514881,0.654762,0.610229,0.584821,0.169643,100,20,13,45,22,0.606061,0.476190,0.775862,0.533333,0.626026,0.252053,raw_lip_midline_deviation >= 0.008995 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
2,raw_eyebrow_region_height_asym,asymmetry,all,median,patient_higher,0.036786,0.023244,low,Tier 4: 弱特征,0.500000,nonpatient FP rate 0.634361 > 0.550000；volatility_score 0.234978 < 0.250000,0.515903,0.257952,0.560340,0.660987,0.321429,0.634361,0.234978,1.000000,5330,5005,325,0.076073,0.062651,0.061367,0.083052,0.012707,1.353366,6.535796,0.584051,0.603309,0.599148,0.321429,0.491525,0.365639,true,rule62_recommended_distinct,605,299,144,83,79,0.674944,0.791005,0.365639,0.728380,0.578322,0.156644,504,273,114,54,63,0.705426,0.812500,0.321429,0.755187,0.566964,0.133929,101,26,30,29,16,0.464286,0.619048,0.491525,0.530612,0.555287,0.110573,raw_eyebrow_region_height_asym >= 0.036786 => 患病倾向更高,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。
3,raw_iris_region_point_spread_asym,asymmetry,mouth_dynamic,max,patient_higher,0.009759,0.051036,medium,Tier 3: 普通特征,1.000000,未命中核心、稳定或弱特征条件,0.566367,0.566367,0.562227,0.760993,0.452381,0.464602,0.336346,0.819530,1132,1024,108,0.011978,0.011838,0.008559,0.012016,0.004991,1.403844,2.407675,0.584334,0.598522,0.614149,0.452381,0.775862,0.535398,true,rule62_recommended_distinct,604,252,105,121,126,0.705882,0.666667,0.535398,0.685714,0.601032,0.202065,504,235,92,76,101,0.718654,0.699405,0.452381,0.708899,0.575893,0.151786,100,17,13,45,25,0.566667,0.404762,0.775862,0.472222,0.590312,0.180624,raw_iris_region_point_spread_asym >= 0.009759 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
4,bsdiff_browDown_abs,asymmetry,all,max,patient_higher,0.013388,0.053694,medium,Tier 3: 普通特征,1.000000,未命中核心、稳定或弱特征条件,0.595871,0.595871,0.515460,0.747580,0.446429,0.475771,0.534065,1.000000,5330,5005,325,0.013877,0.037434,0.001083,0.007838,0.024322,7.237765,0.322274,0.577319,0.611380,0.612137,0.446429,0.745763,0.524229,true,rule62_recommended_distinct,605,263,108,119,115,0.708895,0.695767,0.524229,0.702270,0.609998,0.219996,504,245,93,75,91,0.724852,0.729167,0.446429,0.727003,0.587798,0.175595,101,18,15,44,24,0.545455,0.428571,0.745763,0.480000,0.587167,0.174334,bsdiff_browDown_abs >= 0.013388 => 患病倾向更高,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。
5,bsdiff_mouth_abs,asymmetry,mouth_dynamic,max,patient_higher,0.003855,0.113131,very_high,Tier 1: 核心特征,2.000000,old_auc/new_auc >= 0.570000 且 nonpatient FP rate 0.269912 < 0.350000,0.627737,1.255474,0.613027,0.711473,0.714286,0.269912,0.273402,0.819530,1132,1024,108,0.011532,0.050817,0.001429,0.003683,0.001363,2.578054,2.701944,0.595052,0.591954,0.606721,0.714286,0.775862,0.730088,true,rule62_recommended_distinct,604,181,61,165,197,0.747934,0.478836,0.730088,0.583871,0.604462,0.208924,504,164,48,120,172,0.773585,0.488095,0.714286,0.598540,0.601190,0.202381,100,17,13,45,25,0.566667,0.404762,0.775862,0.472222,0.590312,0.180624,bsdiff_mouth_abs >= 0.003855 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
6,bsdiff_mouth_lateral_abs,asymmetry,mouth_dynamic,max,patient_higher,0.003855,0.113131,very_high,Tier 1: 核心特征,2.000000,old_auc/new_auc >= 0.570000 且 nonpatient FP rate 0.269912 < 0.350000,0.627737,1.255474,0.613027,0.711473,0.714286,0.269912,0.273402,0.819530,1132,1024,108,0.011532,0.050817,0.001429,0.003683,0.001363,2.578054,2.701944,0.595052,0.591954,0.606721,0.714286,0.775862,0.730088,true,rule62_recommended_distinct,604,181,61,165,197,0.747934,0.478836,0.730088,0.583871,0.604462,0.208924,504,164,48,120,172,0.773585,0.488095,0.714286,0.598540,0.601190,0.202381,100,17,13,45,25,0.566667,0.404762,0.775862,0.472222,0.590312,0.180624,bsdiff_mouth_lateral_abs >= 0.003855 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
7,bsdiff_mouthFrown_abs,asymmetry,mouth_dynamic,median,patient_higher,0.000216,0.025436,low,Tier 4: 弱特征,0.500000,volatility_score 0.175977 < 0.250000,0.564555,0.282278,0.633553,0.869387,0.369048,0.548673,0.175977,0.819530,1132,1024,108,0.003616,0.010523,0.000398,0.002099,0.000476,5.272613,4.408613,0.610828,0.595033,0.630408,0.369048,0.689655,0.451327,true,rule62_recommended_distinct,604,289,124,102,89,0.699758,0.764550,0.451327,0.730721,0.607939,0.215878,504,266,106,62,70,0.715054,0.791667,0.369048,0.751412,0.580357,0.160714,100,23,18,40,19,0.560976,0.547619,0.689655,0.554217,0.618637,0.237274,bsdiff_mouthFrown_abs >= 0.000216 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
8,raw_iris_region_area_asym,asymmetry,mouth_dynamic,max,patient_higher,0.019940,0.046872,medium,Tier 3: 普通特征,1.000000,未命中核心、稳定或弱特征条件,0.520160,0.520160,0.463320,0.685487,0.482143,0.438053,0.277184,0.819530,1132,1024,108,0.021705,0.021246,0.015733,0.021322,0.005258,1.355256,4.055202,0.569498,0.602627,0.602823,0.482143,0.793103,0.561947,true,rule62_recommended_distinct,604,233,99,127,145,0.701807,0.616402,0.561947,0.656338,0.589175,0.178349,504,217,87,81,119,0.713816,0.645833,0.482143,0.678125,0.563988,0.127976,100,16,12,46,26,0.571429,0.380952,0.793103,0.457143,0.587028,0.174056,raw_iris_region_area_asym >= 0.019940 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
9,raw_eye_region_point_spread_asym,asymmetry,mouth_dynamic,median,patient_higher,0.010618,0.045783,medium,Tier 3: 普通特征,1.000000,未命中核心、稳定或弱特征条件,0.508079,0.508079,0.428240,0.638900,0.517857,0.442478,0.269396,0.819530,1132,1024,108,0.014450,0.012686,0.011050,0.014579,0.003250,1.319321,4.485692,0.564236,0.643268,0.595835,0.517857,0.672414,0.557522,true,rule62_recommended_distinct,604,225,100,126,153,0.692308,0.595238,0.557522,0.640114,0.576380,0.152760,504,205,81,87,131,0.716783,0.610119,0.517857,0.659164,0.563988,0.127976,100,20,19,39,22,0.512821,0.476190,0.672414,0.493827,0.574302,0.148604,raw_eye_region_point_spread_asym >= 0.010618 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
10,raw_eyebrow_region_point_spread_asym,asymmetry,mouth_dynamic,max,patient_higher,0.012080,0.021106,low,Tier 4: 弱特征,0.500000,nonpatient FP rate 0.588496 > 0.550000,0.468441,0.234220,0.418140,0.677800,0.333333,0.588496,0.281020,0.819530,1132,1024,108,0.018289,0.015565,0.014151,0.018563,0.004624,1.311798,4.014544,0.562721,0.634236,0.601670,0.333333,0.637931,0.411504,true,rule62_recommended_distinct,604,291,133,93,87,0.686321,0.769841,0.411504,0.725686,0.590673,0.181346,504,267,112,56,69,0.704485,0.794643,0.333333,0.746853,0.563988,0.127976,100,24,21,37,18,0.533333,0.571429,0.637931,0.551724,0.604680,0.209360,raw_eyebrow_region_point_spread_asym >= 0.012080 => 患病倾向更高,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。
