score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
0.000000,605,378,227,0,0,0.624793,1.000000,0.000000,0.769074,0.500000,0.000000
0.000100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.000900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.001900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.002900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.003700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
